refnis;refnis;refnis;periode;aantal transacties;mediaan prijs(€);eerste kwartiel prijs(€);derde kwartiel prijs(€)
11001;AARTSELAAR;2010;Y;103;252.500;220.000;295.000
11001;AARTSELAAR;2011;Y;100;295.000;230.000;374.000
11001;AARTSELAAR;2012;Y;100;270.000;242.500;350.000
11001;AARTSELAAR;2013;Y;91;273.000;225.000;337.500
11001;AARTSELAAR;2014;Y;123;280.000;248.000;330.000
11001;AARTSELAAR;2015;Y;104;280.000;240.000;325.000
11001;AARTSELAAR;2016;Y;112;300.000;260.000;390.000
11001;AARTSELAAR;2017;Y;146;307.250;260.000;377.500
11001;AARTSELAAR;2018;Y;159;312.500;260.500;409.500
11001;AARTSELAAR;2019;Y;175;330.000;280.000;394.500
11001;AARTSELAAR;2020;Y;116;350.000;290.000;422.000
11002;ANTWERPEN;2010;Y;2.661;199.000;155.000;250.000
11002;ANTWERPEN;2011;Y;2.829;205.000;160.000;265.000
11002;ANTWERPEN;2012;Y;2.511;209.000;163.000;264.000
11002;ANTWERPEN;2013;Y;2.513;218.000;170.000;275.000
11002;ANTWERPEN;2014;Y;3.125;220.000;170.000;275.000
11002;ANTWERPEN;2015;Y;2.482;220.000;167.000;285.000
11002;ANTWERPEN;2016;Y;2.795;228.000;175.000;295.000
11002;ANTWERPEN;2017;Y;2.904;235.000;180.000;299.000
11002;ANTWERPEN;2018;Y;2.986;245.500;190.000;317.250
11002;ANTWERPEN;2019;Y;3.502;264.250;210.000;331.750
11002;ANTWERPEN;2020;Y;2.423;280.000;219.000;365.000
11004;BOECHOUT;2010;Y;85;294.500;227.000;375.000
11004;BOECHOUT;2011;Y;65;277.500;230.000;365.000
11004;BOECHOUT;2012;Y;59;290.000;227.000;385.000
11004;BOECHOUT;2013;Y;101;290.000;200.000;375.000
11004;BOECHOUT;2014;Y;96;310.000;237.500;392.500
11004;BOECHOUT;2015;Y;61;316.000;247.500;417.500
11004;BOECHOUT;2016;Y;88;305.000;237.000;365.000
11004;BOECHOUT;2017;Y;76;320.000;250.000;430.000
11004;BOECHOUT;2018;Y;98;370.000;310.000;460.000
11004;BOECHOUT;2019;Y;114;360.000;275.000;428.000
11004;BOECHOUT;2020;Y;79;390.000;295.000;520.000
11005;BOOM;2010;Y;168;170.000;128.500;205.000
11005;BOOM;2011;Y;185;170.000;136.000;210.000
11005;BOOM;2012;Y;193;175.000;142.000;225.000
11005;BOOM;2013;Y;193;170.000;125.000;222.500
11005;BOOM;2014;Y;250;180.000;140.000;224.000
11005;BOOM;2015;Y;186;176.750;142.500;220.000
11005;BOOM;2016;Y;195;180.000;135.000;233.750
11005;BOOM;2017;Y;227;191.000;149.500;245.000
11005;BOOM;2018;Y;218;190.000;150.000;250.000
11005;BOOM;2019;Y;244;220.000;172.000;270.000
11005;BOOM;2020;Y;176;230.000;175.000;300.000
11007;BORSBEEK;2010;Y;60;230.000;200.000;301.250
11007;BORSBEEK;2011;Y;64;250.000;197.500;315.000
11007;BORSBEEK;2012;Y;52;245.000;193.250;299.500
11007;BORSBEEK;2013;Y;54;239.000;196.000;281.000
11007;BORSBEEK;2014;Y;61;260.000;210.000;330.000
11007;BORSBEEK;2015;Y;58;240.000;175.000;300.000
11007;BORSBEEK;2016;Y;41;255.000;192.000;285.000
11007;BORSBEEK;2017;Y;61;290.000;243.000;349.000
11007;BORSBEEK;2018;Y;55;260.000;220.000;335.000
11007;BORSBEEK;2019;Y;81;302.500;245.000;346.500
11007;BORSBEEK;2020;Y;62;288.000;235.000;341.500
11008;BRASSCHAAT;2010;Y;336;300.000;239.500;417.500
11008;BRASSCHAAT;2011;Y;324;305.000;245.000;431.400
11008;BRASSCHAAT;2012;Y;285;315.000;250.000;470.000
11008;BRASSCHAAT;2013;Y;283;319.000;262.000;405.000
11008;BRASSCHAAT;2014;Y;352;308.500;241.000;416.500
