refnis;municipality;year;periode;aantal transacties;mediaan1;kwartiel1;kwartiel3
11001;AARTSELAAR;2010;Y;103;252500;220000;295000
11001;AARTSELAAR;2011;Y;100;295000;230000;374000
11001;AARTSELAAR;2012;Y;100;270000;242500;350000
11001;AARTSELAAR;2013;Y;91;273000;225000;337500
11001;AARTSELAAR;2014;Y;123;280000;248000;330000
11001;AARTSELAAR;2015;Y;104;280000;240000;325000
11001;AARTSELAAR;2016;Y;112;300000;260000;390000
11001;AARTSELAAR;2017;Y;146;307250;260000;377500
11001;AARTSELAAR;2018;Y;159;312500;260500;409500
11001;AARTSELAAR;2019;Y;175;330000;280000;394500
11001;AARTSELAAR;2020;Y;116;350000;290000;422000
11002;ANTWERPEN;2010;Y;2661;199000;155000;250000
11002;ANTWERPEN;2011;Y;2829;205000;160000;265000
11002;ANTWERPEN;2012;Y;2511;209000;163000;264000
11002;ANTWERPEN;2013;Y;2513;218000;170000;275000
11002;ANTWERPEN;2014;Y;3125;220000;170000;275000
11002;ANTWERPEN;2015;Y;2482;220000;167000;285000
11002;ANTWERPEN;2016;Y;2795;228000;175000;295000
11002;ANTWERPEN;2017;Y;2904;235000;180000;299000
11002;ANTWERPEN;2018;Y;2986;245500;190000;317250
11002;ANTWERPEN;2019;Y;3502;264250;210000;331750
11002;ANTWERPEN;2020;Y;2423;280000;219000;365000
11004;BOECHOUT;2010;Y;85;294500;227000;375000
11004;BOECHOUT;2011;Y;65;277500;230000;365000
11004;BOECHOUT;2012;Y;59;290000;227000;385000
11004;BOECHOUT;2013;Y;101;290000;200000;375000
11004;BOECHOUT;2014;Y;96;310000;237500;392500
11004;BOECHOUT;2015;Y;61;316000;247500;417500
11004;BOECHOUT;2016;Y;88;305000;237000;365000
11004;BOECHOUT;2017;Y;76;320000;250000;430000
11004;BOECHOUT;2018;Y;98;370000;310000;460000
11004;BOECHOUT;2019;Y;114;360000;275000;428000
11004;BOECHOUT;2020;Y;79;390000;295000;520000
11005;BOOM;2010;Y;168;170000;128500;205000
11005;BOOM;2011;Y;185;170000;136000;210000
11005;BOOM;2012;Y;193;175000;142000;225000
11005;BOOM;2013;Y;193;170000;125000;222500
11005;BOOM;2014;Y;250;180000;140000;224000
11005;BOOM;2015;Y;186;176750;142500;220000
11005;BOOM;2016;Y;195;180000;135000;233750
11005;BOOM;2017;Y;227;191000;149500;245000
11005;BOOM;2018;Y;218;190000;150000;250000
11005;BOOM;2019;Y;244;220000;172000;270000
11005;BOOM;2020;Y;176;230000;175000;300000
11007;BORSBEEK;2010;Y;60;230000;200000;301250
11007;BORSBEEK;2011;Y;64;250000;197500;315000
11007;BORSBEEK;2012;Y;52;245000;193250;299500
11007;BORSBEEK;2013;Y;54;239000;196000;281000
11007;BORSBEEK;2014;Y;61;260000;210000;330000
11007;BORSBEEK;2015;Y;58;240000;175000;300000
11007;BORSBEEK;2016;Y;41;255000;192000;285000
11007;BORSBEEK;2017;Y;61;290000;243000;349000
11007;BORSBEEK;2018;Y;55;260000;220000;335000
11007;BORSBEEK;2019;Y;81;302500;245000;346500
11007;BORSBEEK;2020;Y;62;288000;235000;341500
11008;BRASSCHAAT;2010;Y;336;300000;239500;417500
11008;BRASSCHAAT;2011;Y;324;305000;245000;431400
11008;BRASSCHAAT;2012;Y;285;315000;250000;470000
11008;BRASSCHAAT;2013;Y;283;319000;262000;405000
11008;BRASSCHAAT;2014;Y;352;308500;241000;416500
11008;BRASSCHAAT;2015;Y;313;308500;245000;428000
11008;BRASSCHAAT;2016;Y;351;320000;255000;430000
11008;BRASSCHAAT;2017;Y;350;315000;245000;450000
11008;BRASSCHAAT;2018;Y;372;335000;275000;442500
11008;BRASSCHAAT;2019;Y;479;370000;295000;480000
11008;BRASSCHAAT;2020;Y;352;401000;317250;552500
11009;BRECHT;2010;Y;200;265000;210000;330000
